ProductID,ProductName,Category,Brand,StockLevel,Price,Attributes
P001,Night TV,Electronics,Sony,191,1489.0,"{'size': '44 inches', 'resolution': '1080p', 'smart': 'No'}"
P002,Point Headphones,Electronics,HP,192,1333.88,"{'size': '47 inches', 'resolution': '4K', 'smart': 'Yes'}"
P003,Job TV,Electronics,HP,57,1510.92,"{'size': '46 inches', 'resolution': '1080p', 'smart': 'No'}"
P004,Glass Headphones,Electronics,Samsung,136,140.21,"{'size': '61 inches', 'resolution': '4K', 'smart': 'Yes'}"
P005,Best Refrigerator,Appliances,Lenovo,136,342.79,"{'capacity': '182L', 'type': 'Double Door', 'color': 'Black'}"
P006,Program Laptop,Accessories,HP,43,323.72,"{'type': 'Case', 'compatibility': 'Universal'}"
P007,Common Headphones,Electronics,Apple,35,1450.53,"{'size': '35 inches', 'resolution': '4K', 'smart': 'No'}"
P008,Around TV,Accessories,HP,159,868.04,"{'type': 'Charger', 'compatibility': 'iOS'}"
P009,Realize Headphones,Accessories,Sony,31,775.04,"{'type': 'Case', 'compatibility': 'iOS'}"
P010,International Smartphone,Computers,HP,176,1458.39,"{'processor': 'Intel i5', 'RAM': '14GB', 'storage': '893GB SSD'}"
P011,Provide Laptop,Electronics,Sony,167,1100.77,"{'size': '25 inches', 'resolution': '1080p', 'smart': 'No'}"
P012,Join Refrigerator,Accessories,Sony,34,1266.74,"{'type': 'Headphones', 'compatibility': 'iOS'}"
P013,Current Laptop,Computers,Sony,178,1801.75,"{'processor': 'AMD Ryzen 5', 'RAM': '30GB', 'storage': '514GB SSD'}"
P014,Add TV,Computers,Lenovo,92,1099.82,"{'processor': 'Intel i7', 'RAM': '14GB', 'storage': '979GB SSD'}"
P015,Task TV,Accessories,Lenovo,169,1403.44,"{'type': 'Headphones', 'compatibility': 'iOS'}"
P016,Weight TV,Electronics,Apple,95,1641.87,"{'size': '44 inches', 'resolution': '4K', 'smart': 'Yes'}"
P017,Reach Headphones,Electronics,HP,13,712.18,"{'size': '47 inches', 'resolution': '1080p', 'smart': 'No'}"
P018,Military Smartphone,Appliances,Sony,125,1275.37,"{'capacity': '398L', 'type': 'Double Door', 'color': 'White'}"
P019,Western Headphones,Electronics,HP,44,1981.42,"{'size': '43 inches', 'resolution': '4K', 'smart': 'Yes'}"
P020,Result Smartphone,Mobile,Sony,29,1882.16,"{'model': 'Galaxy', 'storage': '494GB', 'color': 'White'}"
P021,Determine TV,Mobile,Dell,31,1897.74,"{'model': 'Pixel', 'storage': '508GB', 'color': 'White'}"
P022,Form TV,Computers,LG,69,720.43,"{'processor': 'AMD Ryzen 7', 'RAM': '12GB', 'storage': '749GB SSD'}"
P023,Identify TV,Accessories,Samsung,125,1613.5,"{'type': 'Charger', 'compatibility': 'iOS'}"
P024,Simply Laptop,Computers,Lenovo,147,753.52,"{'processor': 'AMD Ryzen 5', 'RAM': '28GB', 'storage': '568GB SSD'}"
P025,Program TV,Electronics,Lenovo,18,478.26,"{'size': '45 inches', 'resolution': '4K', 'smart': 'No'}"
P026,Seek TV,Electronics,HP,43,230.23,"{'size': '44 inches', 'resolution': '1080p', 'smart': 'No'}"
P027,Long Laptop,Appliances,Samsung,103,1976.67,"{'capacity': '487L', 'type': 'Double Door', 'color': 'Silver'}"
P028,Book Refrigerator,Appliances,Sony,112,1476.85,"{'capacity': '181L', 'type': 'Single Door', 'color': 'Black'}"
P029,Sea Headphones,Electronics,Samsung,4,1196.99,"{'size': '50 inches', 'resolution': '4K', 'smart': 'No'}"
P030,Strategy Headphones,Mobile,Samsung,177,1482.09,"{'model': 'Pixel', 'storage': '228GB', 'color': 'Blue'}"
P031,Film Headphones,Electronics,Lenovo,97,1949.36,"{'size': '56 inches', 'resolution': '1080p', 'smart': 'No'}"
P032,Wrong Laptop,Accessories,Apple,164,106.78,"{'type': 'Case', 'compatibility': 'iOS'}"
P033,Agency TV,Electronics,Samsung,25,1458.11,"{'size': '31 inches', 'resolution': '1080p', 'smart': 'No'}"
P034,Head TV,Electronics,Dell,109,1817.51,"{'size': '34 inches', 'resolution': '4K', 'smart': 'Yes'}"
P035,Author TV,Computers,Apple,159,94.74,"{'processor': 'Intel i7', 'RAM': '15GB', 'storage': '698GB SSD'}"
P036,Let Laptop,Electronics,Sony,142,772.47,"{'size': '47 inches', 'resolution': '1080p', 'smart': 'Yes'}"
P037,Cultural Laptop,Mobile,HP,197,1891.98,"{'model': 'Pixel', 'storage': '195GB', 'color': 'Black'}"
P038,News Refrigerator,Computers,LG,194,1673.02,"{'processor': 'AMD Ryzen 5', 'RAM': '26GB', 'storage': '376GB SSD'}"
P039,Number Headphones,Accessories,Samsung,98,673.09,"{'type': 'Case', 'compatibility': 'iOS'}"
P040,Scientist Laptop,Computers,LG,9,119.56,"{'processor': 'Intel i7', 'RAM': '21GB', 'storage': '272GB SSD'}"
P041,Front Smartphone,Electronics,LG,15,897.14,"{'size': '41 inches', 'resolution': '4K', 'smart': 'Yes'}"
P042,Attention TV,Electronics,LG,177,1854.74,"{'size': '27 inches', 'resolution': '4K', 'smart': 'No'}"
P043,Standard Refrigerator,Accessories,Dell,31,1387.72,"{'type': 'Headphones', 'compatibility': 'Universal'}"
P044,Know Laptop,Electronics,Apple,160,1033.43,"{'size': '36 inches', 'resolution': '1080p', 'smart': 'Yes'}"
P045,Democratic Refrigerator,Accessories,Sony,115,957.01,"{'type': 'Charger', 'compatibility': 'Universal'}"
P046,Oil Refrigerator,Computers,HP,170,671.5,"{'processor': 'Intel i7', 'RAM': '14GB', 'storage': '695GB SSD'}"
P047,Education Laptop,Electronics,LG,95,51.67,"{'size': '56 inches', 'resolution': '4K', 'smart': 'Yes'}"
P048,Partner Headphones,Accessories,LG,26,1590.99,"{'type': 'Charger', 'compatibility': 'Universal'}"
P049,War Headphones,Appliances,HP,167,1113.45,"{'capacity': '356L', 'type': 'Single Door', 'color': 'White'}"
P050,Evidence Headphones,Computers,Samsung,35,766.12,"{'processor': 'Intel i7', 'RAM': '22GB', 'storage': '525GB SSD'}"
